Mark Sequence Malloc     Size       Addr Line File
==== ======== ====== ======== ========== ==== ================================
   0        1 new        1088 0x003A2BA0   91 es\implementation\x_threads.cpp
   0        2 new          60 0x003A1040   98 es\implementation\x_threads.cpp
   0        3 malloc     2048 0x003A3068  153 es\implementation\x_threads.cpp
   0        4 malloc  2097152 0x00D30080  192 entropy\common\e_scratchmem.cpp
   0        5 malloc  2097152 0x00F40080  193 entropy\common\e_scratchmem.cpp
   0        6 new          12 0x003A10F8  109 support\stringmgr\stringmgr.cpp
   0        7 malloc    10214 0x003A38F0   58 support\stringmgr\stringmgr.cpp
   0        9 new          12 0x003A1208  109 support\stringmgr\stringmgr.cpp
   0       10 malloc    14264 0x003A6158   58 support\stringmgr\stringmgr.cpp
   0       12 new          12 0x003A1180  109 support\stringmgr\stringmgr.cpp
   0       13 malloc     1152 0x003A9A18   58 support\stringmgr\stringmgr.cpp
   1       34 ------ -------- ---------- ---- ----Begin - InitPermSystems
   1       35 new        1416 0x003A9FA8  855 c:\projects\aads\aads\main.cpp
   1       36 new          96 0x003AA5B0   45 t\masterserver\masterserver.cpp
   1       39 new         448 0x003AA958  382 lementation\x_array_private.hpp
   1       40 new      147492 0x012300A8   62 port\particles\particlepool.cpp
   5       44 ------ -------- ---------- ---- ----Particles
   5    43179 new        1960 0x01282488  337 t\particles\particlelibrary.cpp
   5    43180 new        1848 0x012B6068  347 t\particles\particlelibrary.cpp
   5    43291 new        3312 0x01276660  414 t\particles\particlelibrary.cpp
   5    43545 new         232 0x01277788  468 t\particles\particlelibrary.cpp
   5    43546 new         340 0x012773D8  478 t\particles\particlelibrary.cpp
   6    43547 ------ -------- ---------- ---- ----GameShapes
   6    43553 new         112 0x01277658  323 \support\shape\shapemanager.cpp
   6    43554 new      186064 0x013300A8  224 \support\shape\shapebinfile.cpp
   6    43556 new         112 0x01282CB0  323 \support\shape\shapemanager.cpp
   6    43557 new      193104 0x0135D800  224 \support\shape\shapebinfile.cpp
   6    43559 new         112 0x01282DA8  323 \support\shape\shapemanager.cpp
   6    43560 new      227680 0x0138CAD8  224 \support\shape\shapebinfile.cpp
   6    43562 new         112 0x01282EA0  323 \support\shape\shapemanager.cpp
   6    43563 new      209216 0x013C44C0  224 \support\shape\shapebinfile.cpp
   6    43565 new         112 0x01282068  323 \support\shape\shapemanager.cpp
   6    43566 new      203248 0x013F7688  224 \support\shape\shapebinfile.cpp
   6    43568 new         112 0x01282160  323 \support\shape\shapemanager.cpp
   6    43569 new      209648 0x01429100  224 \support\shape\shapebinfile.cpp
   6    43571 new         112 0x01282258  323 \support\shape\shapemanager.cpp
   6    43572 new      209968 0x0145C478  224 \support\shape\shapebinfile.cpp
   6    43574 new         112 0x01282350  323 \support\shape\shapemanager.cpp
   6    43575 new      206032 0x0148F930  224 \support\shape\shapebinfile.cpp
   6    43577 new         112 0x014C1E88  323 \support\shape\shapemanager.cpp
   6    43578 new       40224 0x01264AB8  224 \support\shape\shapebinfile.cpp
   6    43580 new         112 0x01276068  323 \support\shape\shapemanager.cpp
   6    43581 new       28736 0x01282F98  224 \support\shape\shapebinfile.cpp
   6    43583 new         112 0x01276160  323 \support\shape\shapemanager.cpp
   6    43584 new       32768 0x0129B068  224 \support\shape\shapebinfile.cpp
   6    43586 new         112 0x01276258  323 \support\shape\shapemanager.cpp
   6    43587 new       26016 0x012A30F0  224 \support\shape\shapebinfile.cpp
   6    43589 new         112 0x01276350  323 \support\shape\shapemanager.cpp
   6    43590 new       29184 0x01321068  224 \support\shape\shapebinfile.cpp
   6    43592 new         112 0x01276448  323 \support\shape\shapemanager.cpp
   6    43593 new       27376 0x013282F0  224 \support\shape\shapebinfile.cpp
   6    43595 new         112 0x01276540  323 \support\shape\shapemanager.cpp
   6    43596 new       22768 0x01290068  224 \support\shape\shapebinfile.cpp
   6    43598 new         112 0x012778F0  323 \support\shape\shapemanager.cpp
   6    43599 new       47776 0x012A9718  224 \support\shape\shapebinfile.cpp
   6    43601 new         112 0x012779E8  323 \support\shape\shapemanager.cpp
   6    43602 new       58336 0x014C1F80  224 \support\shape\shapebinfile.cpp
   6    43604 new         112 0x01277AE0  323 \support\shape\shapemanager.cpp
   6    43605 new       12272 0x01271068  224 \support\shape\shapebinfile.cpp
   6    43607 new         112 0x01277BD8  323 \support\shape\shapemanager.cpp
   6    43608 new       27216 0x014D03E8  224 \support\shape\shapebinfile.cpp
   6    43610 new         112 0x014D6EC0  323 \support\shape\shapemanager.cpp
   6    43611 new        3792 0x0127C068  224 \support\shape\shapebinfile.cpp
   6    43613 new         112 0x01277CD0  323 \support\shape\shapemanager.cpp
   6    43614 new       14976 0x01277DC8  224 \support\shape\shapebinfile.cpp
   6    43616 new         112 0x0127B8D0  323 \support\shape\shapemanager.cpp
   6    43617 new        1728 0x0126E860  224 \support\shape\shapebinfile.cpp
   6    43619 new         112 0x0127B9C8  323 \support\shape\shapemanager.cpp
   6    43620 new        1664 0x012B6820  224 \support\shape\shapebinfile.cpp
   6    43622 new         112 0x012B6F28  323 \support\shape\shapemanager.cpp
   6    43623 new        1728 0x012B5240  224 \support\shape\shapebinfile.cpp
   6    43625 new         112 0x0127BAC0  323 \support\shape\shapemanager.cpp
   6    43626 new        8000 0x003AABA0  224 \support\shape\shapebinfile.cpp
   6    43628 new         112 0x0127BBB8  323 \support\shape\shapemanager.cpp
   6    43629 new        7296 0x012740E0  224 \support\shape\shapebinfile.cpp
   6    43631 new         112 0x01275DE8  323 \support\shape\shapemanager.cpp
   6    43632 new       12288 0x0127CFC0  224 \support\shape\shapebinfile.cpp
   6    43634 new         112 0x01275EE0  323 \support\shape\shapemanager.cpp
   6    43635 new       15584 0x0128A060  224 \support\shape\shapebinfile.cpp
   6    43637 new         112 0x0127BCB0  323 \support\shape\shapemanager.cpp
   6    43638 new       16880 0x014D6FB8  224 \support\shape\shapebinfile.cpp
   6    43640 new         112 0x0127BDA8  323 \support\shape\shapemanager.cpp
   6    43641 new       12816 0x012B7020  224 \support\shape\shapebinfile.cpp
   6    43643 new         112 0x0127BEA0  323 \support\shape\shapemanager.cpp
   6    43644 new        3968 0x01280048  224 \support\shape\shapebinfile.cpp
   6    43646 new         112 0x003ACB68  323 \support\shape\shapemanager.cpp
   6    43647 new        4160 0x0128DDC8  224 \support\shape\shapebinfile.cpp
   6    43649 new         112 0x0128EE90  323 \support\shape\shapemanager.cpp
   6    43650 new       12560 0x014DB230  224 \support\shape\shapebinfile.cpp
   6    43652 new         112 0x003ACC60  323 \support\shape\shapemanager.cpp
   6    43653 new        4480 0x012959E0  224 \support\shape\shapebinfile.cpp
   6    43655 new         112 0x003ACD58  323 \support\shape\shapemanager.cpp
   6    43656 new        5568 0x014DE3C8  224 \support\shape\shapebinfile.cpp
   6    43658 new         112 0x003ACE50  323 \support\shape\shapemanager.cpp
   6    43659 new       11184 0x014DFA10  224 \support\shape\shapebinfile.cpp
   6    43661 new         112 0x003ACF48  323 \support\shape\shapemanager.cpp
   6    43662 new        3952 0x003AE068  224 \support\shape\shapebinfile.cpp
   6    43664 new         112 0x012B5988  323 \support\shape\shapemanager.cpp
   6    43665 new        9200 0x01296BE8  224 \support\shape\shapebinfile.cpp
   6    43667 new         112 0x012B5A80  323 \support\shape\shapemanager.cpp
   6    43668 new       73696 0x014E2648  224 \support\shape\shapebinfile.cpp
   6    43670 new         112 0x012B5B78  323 \support\shape\shapemanager.cpp
   6    43671 new        5328 0x01299060  224 \support\shape\shapebinfile.cpp
   6    43673 new         112 0x012B5C70  323 \support\shape\shapemanager.cpp
   6    43674 new       87488 0x014F46B0  224 \support\shape\shapebinfile.cpp
   6    43676 new         112 0x012B5D68  323 \support\shape\shapemanager.cpp
   6    43677 new        4432 0x0126EFA8  224 \support\shape\shapebinfile.cpp
   6    43679 new         112 0x012B5E60  323 \support\shape\shapemanager.cpp
   6    43680 new       93840 0x01509CF8  224 \support\shape\shapebinfile.cpp
   6    43682 new         112 0x012B5F58  323 \support\shape\shapemanager.cpp
   6    43683 new        6480 0x01520C10  224 \support\shape\shapebinfile.cpp
   6    43685 new         112 0x0129A5B8  323 \support\shape\shapemanager.cpp
   6    43686 new      105472 0x015300A8  224 \support\shape\shapebinfile.cpp
   6    43688 new         112 0x01549D30  323 \support\shape\shapemanager.cpp
   6    43689 new       13008 0x015225E8  224 \support\shape\shapebinfile.cpp
   6    43691 new         112 0x01549E28  323 \support\shape\shapemanager.cpp
   6    43692 new       70208 0x01549F20  224 \support\shape\shapebinfile.cpp
   6    43694 new         112 0x0129A6B0  323 \support\shape\shapemanager.cpp
   6    43695 new        7104 0x01525940  224 \support\shape\shapebinfile.cpp
   6    43697 new         112 0x0129A7A8  323 \support\shape\shapemanager.cpp
   6    43698 new       15872 0x01527588  224 \support\shape\shapebinfile.cpp
   6    43700 new         112 0x0129A8A0  323 \support\shape\shapemanager.cpp
   6    43701 new        4992 0x0152B410  224 \support\shape\shapebinfile.cpp
   6    43703 new         112 0x0129A998  323 \support\shape\shapemanager.cpp
   6    43704 new       11328 0x0155B1E8  224 \support\shape\shapebinfile.cpp
   6    43706 new         112 0x0129AA90  323 \support\shape\shapemanager.cpp
   6    43707 new        4992 0x0152C818  224 \support\shape\shapebinfile.cpp
   6    43709 new         112 0x0129AB88  323 \support\shape\shapemanager.cpp
   6    43710 new        9152 0x0155DEB0  224 \support\shape\shapebinfile.cpp
   6    43712 new         112 0x0129AC80  323 \support\shape\shapemanager.cpp
   6    43713 new        5376 0x015602F8  224 \support\shape\shapebinfile.cpp
